N,Neuron class,Neuron,h / m,Neurotransmitter 1,Neurotransmitter 2,Soma Location,Notes ,WA - Lineage,WA - Description
219,,PVCR,,Acetylcholine (ACh),,Tail,,AB prpppaapaa,"Ventral cord interneuron, cell body in lumbar ganglion, synapses onto VB and DB motor neurons, formerly called delta"
220,PVD,PVDL,,Glutamate (Glu),,Body wall,,V5L.paapa,"Neuron, lateral process adjacent to excretory canal"
221,,PVDR,,Glutamate (Glu),,Body wall,,V5R.paapa,"Neuron, lateral process adjacent to excretory canal"
222,PVM,PVM,,Unknown,,Body wall,,QL.paa,"Posterior ventral microtubule cell, touch receptor"
223,PVN,PVNL,,"ACh (unc-17, no cho-1)",Glutamate (Glu) (adulte male-specific),Tail,"P16: only very few minor NMJs, more prominent neuron-neuron synapses",TL.appp,"Interneuron/motor neuron, post. vent. cord, few synapses"
224,,PVNR,,"ACh (unc-17, no cho-1)",Glutamate (Glu) (adulte male-specific),Tail,,TR.appp,"Interneuron/motor neuron, post. vent. cord, few synapses"
225,PVP,PVPL, 'h'   ,Acetylcholine (ACh),,Tail - PAG,"Same cell by lineage as PVU in male, hermaphrodite-specific name of cell",AB plppppaaa,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring"
226,,PVPR, 'h'   ,Acetylcholine (ACh),,Tail - PAG,"Same cell by lineage as PVS in male, hermaphrodite-specific name of cell",AB prppppaaa,"Interneuron, cell body in preanal ganglion, projects along ventral cord to nerve ring"
227,PVQ,PVQL,,Glutamate (Glu),,Tail - Lumbar G,,AB plapppaaa,"Interneuron, projects along ventral cord to ring"
228,,PVQR,,Glutamate (Glu),,Tail - Lumbar G,,AB prapppaaa,"Interneuron, projects along ventral cord to ring"
229,PVR,PVR,,Glutamate (Glu),,Tail - Lumbar G,,C aappa,"Interneuron, projects along ventral cord to ring"
230,PVS,PVS,m,Unknown,,Tail - PAG,Same cell by lineage as PVPR in hermaphrodite,AB prppppaaa,"PVPR interneuron of male, cell body in preanal ganglion, sexually dimorphic connectivity"
231,PVT,PVT,,Unknown,,Tail - PAG,,AB plpappppa,"Interneuron, projects along ventral cord to ring"
232,PVU,PVU, 'm'   ,Acetylcholine (ACh),,Tail - PAG,Same cell by lineage as PVPL in hermaphrodite,AB plppppaaa,"PVPL interneuron of male, cell body in preanal ganglion, sexually dimorphic connectivity"
233,PVV,PVV,m,Acetylcholine (ACh),Glu,Tail - PAG,,P11.paaa,"Male specific motor neuron, pre-anal ganglion"
234,PVW,PVWL,,Unknown,,Tail - Lumbar G,,TL.ppa,"Interneuron, posterior ventral cord, few synapses"
235,,PVWR,,Unknown,,Tail - Lumbar G,,TR.ppa,"Interneuron, posterior ventral cord, few synapses"
236,PVX,PVX,m,Acetylcholine (ACh),,Tail - PAG,,P11.paap,"Male specific interneuron, cell body in pre-anal ganglion"
237,PVY,PVY,m,Acetylcholine (ACh),,Tail - PAG,,P12.aap,"Male specific interneuron, cell body in pre-anal ganglion, postsynaptic in ring and ventral cord"
238,PVZ,PVZ,m,Acetylcholine (ACh),,Tail - PAG,,P10.ppppa,"Male specific motor neuron, cell body in pre-anal ganglion"
239,R1A,R1AL,m,Acetylcholine (ACh),,Tail - Lumbar G,,"V5L.pppppaaa, (R1.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
240,,R1AR,m,Acetylcholine (ACh),,Tail - Lumbar G,,"V5R.pppppaaa, (R1.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
241,R1B,R1BL,m,Serotonin / 5HT,,Tail - Lumbar G,,"V5L.pppppapa, (R1.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion"
242,,R1BR,m,Serotonin / 5HT,,Tail - Lumbar G,,"V5R.pppppapa, (R1.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
243,R2A,R2AL,m,Acetylcholine (ACh),GABA,Tail - Lumbar G,,"V6L.papapaaa, (R2.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
244,,R2AR,m,Acetylcholine (ACh),GABA,Tail - Lumbar G,,"V6R.papapaaa, (R2.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
245,R2B,R2BL,m,Glutamate (Glu),,Tail - Lumbar G,,"V6L.papapapa, (R2.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside,cell body in left lumbar ganglion"
246,,R2BR,m,Glutamate (Glu),,Tail - Lumbar G,,"V6R.papapapa, (R2.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
247,R3A,R3AL,m,Acetylcholine (ACh),,Tail - Lumbar G,,"V6L.papppaaa, (R3.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
248,,R3AR,m,Acetylcholine (ACh),,Tail - Lumbar G,,"V6R.papppaaa, (R3.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
249,R3B,R3BL,m,Serotonin / 5HT,,Tail - Lumbar G,,"V6L.papppapa, (R3.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion"
250,,R3BR,m,Serotonin / 5HT,,Tail - Lumbar G,,"V6R.papppapa, (R3.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
251,R4A,R4AL,m,Acetylcholine (ACh),,Tail - Lumbar G,,"V6L.pppapaaa, (R4.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
252,,R4AR,m,Acetylcholine (ACh),,Tail - Lumbar G,,"V6R.pppapaaa, (R4.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
253,R4B,R4BL,m,Unknown,,Tail - Lumbar G,,"V6L.pppapapa, (R4.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion"
254,,R4BR,m,Unknown,,Tail - Lumbar G,,"V6R.pppapapa, (R4.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
255,R5A,R5AL,m,Dopamine (DA),Glu,Tail - Lumbar G,"also possibly Gly?? - express VGAT; but are GAD, GABA-IR(-)","V6L.pppppaaa, (R5.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
256,,R5AR,m,Dopamine (DA),Glu,Tail - Lumbar G,"also possibly Gly?? - express VGAT; but are GAD, GABA-IR(-)","V6R.pppppaaa, (R5.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
257,R5B,R5BL,m,Unknown,,Tail - Lumbar G,,"V6L.pppppapa, (R5.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion"
258,,R5BR,m,Unknown,,Tail - Lumbar G,,"V6R.pppppapa, (R5.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
259,R6A,R6AL,m,Acetylcholine (ACh),GABA,Tail - Lumbar G,,"V6L.ppppaaaa, (R6.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
260,,R6AR,m,Acetylcholine (ACh),GABA,Tail - Lumbar G,,"V6R.ppppaaaa, (R6.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
261,R6B,R6BL,m,Glutamate (Glu),,Tail - Lumbar G,,"V6L.ppppaapa, (R6.apaL)","Male sensory rays, neuron, not darkly staining nor open to outside, cell body in left lumbar ganglion"
262,,R6BR,m,Glutamate (Glu),,Tail - Lumbar G,,"V6R.ppppaapa, (R6.apaR)","Male sensory rays, neuron, not darkly staining nor open to outside, cell body in right lumbar ganglion"
263,R7A,R7AL,m,Dopamine (DA),,Tail - Lumbar G,,"TL.apappaaa, (R7.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
264,,R7AR,m,Dopamine (DA),,Tail - Lumbar G,,"TR.apappaaa, (R7.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
265,R7B,R7BL,m,Unknown,,Tail - Lumbar G,,"TL.apappapa, (R7.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion"
266,,R7BR,m,Unknown,,Tail - Lumbar G,,"TR.apappapa, (R7.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
267,R8A,R8AL,m,ACh,Tyramine (TA),Tail - Lumbar G,"Evidence for Ach weak; possibly also tyraminergic? (express tdc-1, but not cat-1/VMAT)","TL.appaaaaa, (R8.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
268,,R8AR,m,ACh,Tyramine (TA),Tail - Lumbar G,"Evidence for Ach weak; possibly also tyraminergic? (express tdc-1, but not cat-1/VMAT)","TR.appaaaaa, (R8.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
269,R8B,R8BL,m,ACh,Tyramine (TA),Tail - Lumbar G,"Evidence for Ach weak; possibly also tyraminergic? (express tdc-1, but not cat-1/VMAT)","TL.appaaapa, (R8.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion"
270,,R8BR,,ACh,Tyramine (TA),Tail - Lumbar G,"Evidence for Ach weak; possibly also tyraminergic? (express tdc-1, but not cat-1/VMAT)","TR.appaaapa, (R8.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
271,R9A,R9AL,m,Dopamine (DA),Glu,Tail - Lumbar G,"also possibly Gly?? - express VGAT; but are GAD, GABA-IR(-)","TL.appapaaa, (R9.aaaL)","Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion"
272,,R9AR,m,Dopamine (DA),Glu,Tail - Lumbar G,"also possibly Gly?? - express VGAT; but are GAD, GABA-IR(-)","TR.appapaaa, (R9.aaaR)","Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion"
273,R9B,R9BL,m,Serotonin / 5HT,GABA,Tail - Lumbar G,,"TL.appapapa, (R9.apaL)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion"
274,,R9BR,m,Serotonin / 5HT,GABA,Tail - Lumbar G,,"TR.appapapa, (R9.apaR)","Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion"
275,RIA,RIAL,,Glutamate (Glu),,Tail - PAG,,AB alapaapaa,"Ring interneuron, many synapses"
276,,RIAR,,Glutamate (Glu),,Head,,AB alaapppaa,"Ring interneuron, many synapses"
277,RIB,RIBL,,Acetylcholine (ACh),,Head,,AB plpaappap,Ring interneuron
278,,RIBR,,Acetylcholine (ACh),,Head,,AB prpaappap,Ring interneuron
279,RIC,RICL,,Octopamine (OA),,Head,,AB plppaaaapp,Ring interneuron
280,,RICR,,Octopamine (OA),,Head,,AB prppaaaapp,Ring interneuron
281,RID,RID,,Unknown,,Head,,AB alappaapa,"Ring interneuron, projects along dorsal cord"
282,RIF,RIFL,,Acetylcholine (ACh),,Head - RVG,,AB plppapaaap,Ring interneuron
283,,RIFR,,Acetylcholine (ACh),,Head - RVG,,AB prppapaaap,Ring interneuron
284,RIG,RIGL,,Glutamate (Glu),,Head - RVG,,AB plppappaa,Ring interneuron
285,,RIGR,,Glutamate (Glu),,Head - RVG,,AB prppappaa,Ring interneuron
286,RIH,RIH,,Acetylcholine (ACh),Serotonin/5HT,Head,,AB prpappaaa,Ring interneuron
287,RIM,RIML,,Tyramine (TA),Glu,Head,,AB plppaapap,Ring motor neuron
288,,RIMR,,Tyramine (TA),Glu,Head,,AB prppaapap,Ring motor neuron
289,RIP,RIPL,,Unknown,,Head,,AB alpapaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring"
290,,RIPR,,Unknown,,Head,,AB arappaaaa,"Ring/pharynx interneuron, only direct connection between pharynx and ring"
291,RIR,RIR,,Acetylcholine (ACh),,Head,,AB prpapppaa,Ring interneuron
292,RIS,RIS,,GABA,,Head,,AB prpappapa,Ring interneuron
293,RIV,RIVL,,Acetylcholine (ACh),,Head,"P16: only very few minor NMJs, more prominent neuron-neuron synapses",AB plpaapaaa,Ring interneuron
294,,RIVR,,Acetylcholine (ACh),,Head,,AB prpaapaaa,Ring interneuron
295,RMD,RMDDL,,Acetylcholine (ACh),,Head,,AB alpapapaa,"Ring motor neuron/interneuron, many synapses"
296,,RMDDR,,Acetylcholine (ACh),,Head,,AB arappapaa,"Ring motor neuron/interneuron, many synapses"
297,,RMDL,,Acetylcholine (ACh),,Head,,AB alpppapad,"Ring motor neuron/interneuron, many synapses"
298,,RMDR,,Acetylcholine (ACh),,Head,,AB praaaapad,"Ring motor neuron/interneuron, many synapses"
299,,RMDVL,,Acetylcholine (ACh),,Head,,AB alppapaaa,"Ring motor neuron/interneuron, many synapses"
300,,RMDVR,,Acetylcholine (ACh),,Head,,AB arapppaaa,"Ring motor neuron/interneuron, many synapses"
301,RME,RMED,,GABA,,Head,,AB alapppaap,Ring motor neuron
302,,RMEL,,GABA,,Head,,AB alaaaarlp,Ring motor neuron
303,,RMER,,GABA,,Head,,AB alaaaarrp,Ring motor neuron
304,,RMEV,,GABA,,Head,,AB plpappaaa,Ring motor neuron
305,RMF,RMFL,,Acetylcholine (ACh),,Head,,G2.al,Ring motor neuron/interneuron
306,,RMFR,,Acetylcholine (ACh),,Head,,G2.ar,Ring motor neuron/interneuron
307,RMG,RMGL,,Unknown,,Head,,AB plapaaapp,Ring interneuron
308,,RMGR,,Unknown,,Head,,AB prapaaapp,Ring interneuron
309,RMH,RMHL,,Acetylcholine (ACh),,Head,,G1.l,Ring motor neuron/interneuron
310,,RMHR,,Acetylcholine (ACh),,Head,,G1.r,Ring motor neuron/interneuron
311,SAA,SAADL,,Acetylcholine (ACh),,Head,,AB alppapapa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
312,,SAADR,,Acetylcholine (ACh),,Head,,AB arapppapa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
313,,SAAVL,,Acetylcholine (ACh),,Head,,AB plpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
314,,SAAVR,,Acetylcholine (ACh),,Head,,AB prpaaaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally"
315,SAB,SABD,,Acetylcholine (ACh),,Head,P16: clearly makes neuromuscular junctions,AB plppapaap,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1"
316,,SABVL,,Acetylcholine (ACh),,Head,,AB plppapaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1"
317,,SABVR,,Acetylcholine (ACh),,Head,,AB prppapaaaa,"Ring interneuron, anteriorly projecting process that runs sublaterally, synapses to anterior body muscles in L1"
318,SDQ,SDQL,,Acetylcholine (ACh),,Body wall,WA: minor oxygen-sensory,QL.pap,"Post. lateral interneuron, process projects into ring"
319,,SDQR,,Acetylcholine (ACh),,Body wall,,QR.pap,"Ant. lateral interneuron, process projects into ring"
320,SIA,SIADL,,Acetylcholine (ACh),,Head,P16: clearly makes neuromuscular junctions,AB plpapaapa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally"
321,,SIADR,,Acetylcholine (ACh),,Head,,AB prpapaapa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally"
322,,SIAVL,,Acetylcholine (ACh),,Head,,AB plpapappa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally"
323,,SIAVR,,Acetylcholine (ACh),,Head,,AB prpapappa,"Receive a few synapses in the ring, have posteriorly directed processes that run sublaterally"
324,SIB,SIBDL,,Acetylcholine (ACh),,Head,"P16: sensory, clearly makes neuromuscular junctions",AB plppaaaaa,Similar to SIA
325,,SIBDR,,Acetylcholine (ACh),,Head,,AB prppaaaaa,Similar to SIA
326,,SIBVL,,Acetylcholine (ACh),,Head,,AB plpapaapp,Similar to SIA
327,,SIBVR,,Acetylcholine (ACh),,Head,,AB prpapaapp,Similar to SIA
328,SMB,SMBDL,,Acetylcholine (ACh),,Head,,AB alpapapapp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
329,,SMBDR,,Acetylcholine (ACh),,Head,,AB arappapapp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
330,,SMBVL,,Acetylcholine (ACh),,Head,,AB alpapappp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
331,,SMBVR,,Acetylcholine (ACh),,Head,,AB arappappp,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
332,SMD,SMDDL,,Acetylcholine (ACh),,Head,,AB plpapaaaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
333,,SMDDR,,Acetylcholine (ACh),,Head,,AB prpapaaaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
334,,SMDVL,,Acetylcholine (ACh),,Head,,AB alppappaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
335,,SMDVR,,Acetylcholine (ACh),,Head,,AB arappppaa,"Ring motor neuron/interneuron, has a posteriorly direct ed process that runs sublaterally"
336,SPC,SPCL,m,Acetylcholine (ACh),,Tail - Cloacal G,,B.alpaap,"Male specific sensory/motor neuron, innervates spicule protractor muscle, cell body in left cloacal ganglion"
337,,SPCR,m,Acetylcholine (ACh),,Tail - Cloacal G,,B.arpaap,"Male specific sensory/motor neuron, innervates spicule protractor muscle, cell body in right cloacal ganglion"
338,SPD,SPDL,m,Unknown,,Tail - Cloacal G,,B.alpapaa,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in left cloacal ganglion"
339,,SPDR,m,Unknown,,Tail - Cloacal G,,B.arpapaa,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in right cloacal ganglion"
340,SPSo *,SPSoL,m,Dopamine (DA),,Tail,"*non-neuronal support cell, syncitial with 4 nuclei",4 B.a(l/r)-derived,"Male specific spicule socket cell syncitium, surrounding spicule sheath cell (SPsh), which surrounds spicule sensory neurons (SPD and SPV)"
341,,SPSoR,m,Dopamine (DA),,Tail,"*non-neuronal support cell, syncitial with 4 nuclei",4 B.a(l/r)-derived,"Male specific spicule socket cell syncitium, surrounding spicule sheath cell (SPsh), which surrounds spicule sensory neurons (SPD and SPV)"
342,SPV,SPVL,m,Acetylcholine (ACh),,Tail - Cloacal G,,B.al/raalda,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in left cloacal ganglion"
343,,SPVR,m,Acetylcholine (ACh),,Tail - Cloacal G,,B.al/raarda,"Male specific sensory neuron of male copulatory spicules, ciliated, open to outside at tip of spicule, cell body in right cloacal ganglion"
344,URA,URADL,,Acetylcholine (ACh),,Head,"P16: sensory, also clearly a motor neuron",AB plaaaaaaa,Ring motor neuron
345,,URADR,,Acetylcholine (ACh),,Head,,AB arpapaaaa,Ring motor neuron
346,,URAVL,,Acetylcholine (ACh),,Head,,AB plpaaapaa,Ring motor neuron
347,,URAVR,,Acetylcholine (ACh),,Head,,AB prpaaapaa,Ring motor neuron
348,URB,URBL,,Acetylcholine (ACh),,Head,,AB plaapaapa,"Neuron, presynaptic in ring, ending in head"
349,,URBR,,Acetylcholine (ACh),,Head,,AB praapaapa,"Neuron, presynaptic in ring, ending in head"
350,URX,URXL,,Acetylcholine (ACh),Serotonin / 5HT?? (weak/variable),Head,,AB plaaaaappp,Ring interneuron
351,,URXR,,Acetylcholine (ACh),Serotonin / 5HT?? (weak/variable),Head,,AB arpapaappp,Ring interneuron
352,URY,URYDL,,Glutamate (Glu),,Head,,AB alapapapp,"Neuron, presynaptic in ring, ending in head"
353,,URYDR,,Glutamate (Glu),,Head,,AB alapppapp,"Neuron, presynaptic in ring, ending in head"
354,,URYVL,,Glutamate (Glu),,Head,,AB plpaaappp,"Neuron, presynaptic in ring, ending in head"
355,,URYVR,,Glutamate (Glu),,Head,,AB prpaaappp,"Neuron, presynaptic in ring, ending in head"
356,VA,VA1,,Acetylcholine (ACh),,Head - RVG,,W.pa,"Ventral cord motor neuron, innervates vent. body muscles"
357,,VA2,,Acetylcholine (ACh),,VNC,,P2.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
358,,VA3,,Acetylcholine (ACh),,VNC,,P3.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
359,,VA4,,Acetylcholine (ACh),,VNC,,P4.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
360,,VA5,,Acetylcholine (ACh),,VNC,,P5.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
361,,VA6,,Acetylcholine (ACh),,VNC,,P6.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
362,,VA7,,Acetylcholine (ACh),,VNC,,P7.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
363,,VA8,,Acetylcholine (ACh),,VNC,,P8.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
364,,VA9,,Acetylcholine (ACh),,VNC,,P9.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
365,,VA10,,Acetylcholine (ACh),,VNC,,P10.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
366,,VA11,,Acetylcholine (ACh),,VNC,,P11.aaaa,"Ventral cord motor neuron, innervates vent. body muscles"
367,,VA12,,Acetylcholine (ACh),,Tail - PAG,,P12.aaaa,"Ventral cord motor neuron, innervates vent. body muscles, but also interneuron in preanal ganglion"
368,VB,VB1,,Acetylcholine (ACh),,Head - RVG,Also proprioceptive sensory neuron,P1.aaap,"Ventral cord motor neuron, innervates vent. body muscles, also interneuron in ring"
369,,VB2,,Acetylcholine (ACh),,Head - RVG,,W.aap,"Ventral cord motor neuron, innervates vent. body muscles"
370,,VB3,,Acetylcholine (ACh),,VNC,,P2.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
371,,VB4,,Acetylcholine (ACh),,VNC,,P3.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
372,,VB5,,Acetylcholine (ACh),,VNC,,P4.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
373,,VB6,,Acetylcholine (ACh),,VNC,,P5.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
374,,VB7,,Acetylcholine (ACh),,VNC,,P6.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
375,,VB8,,Acetylcholine (ACh),,VNC,,P7.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
376,,VB9,,Acetylcholine (ACh),,VNC,,P8.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
377,,VB10,,Acetylcholine (ACh),,VNC,,P9.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
378,,VB11,,Acetylcholine (ACh),,VNC,,P10.aaap,"Ventral cord motor neuron, innervates vent. body muscles"
379,VC,VC1,h,Acetylcholine (ACh),,VNC,,P3.aap,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
380,,VC2,h,Acetylcholine (ACh),,VNC,,P4.aap,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
381,,VC3,h,Acetylcholine (ACh),,VNC,,P5.aap,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
382,,VC4,h,Acetylcholine (ACh),Serotonin / 5HT (weak/variable),VNC,,P6.aap,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
383,,VC5,h,Acetylcholine (ACh),Serotonin / 5HT (weak/variable),VNC,,P7.aap,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
384,,VC6,h,Acetylcholine (ACh),,VNC,,P8.aap,Hermaphrodite specific ventral cord motor neuron innervates vulval muscles and ventral body muscles
385,VD,VD1,,GABA,,Head - RVG,,W.pp,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
386,,VD2,,GABA,,Head - RVG,,P1.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
387,,VD3,,GABA,,VNC,,P2.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
388,,VD4,,GABA,,VNC,,P3.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
389,,VD5,,GABA,,VNC,,P4.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
390,,VD6,,GABA,,VNC,,P5.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
391,,VD7,,GABA,,VNC,,P6.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
392,,VD8,,GABA,,VNC,,P7.app,"Ventralcord motor neuron, innervates vent body muscles, reciprocal inhibitor"
393,,VD9,,GABA,,VNC,,P8.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
394,,VD10,,GABA,,VNC,,P9.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
395,,VD11,,GABA,,VNC,,P10.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
396,,VD12,,GABA,,Tail - PAG,,P11.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
397,,VD13,,GABA,,Tail - PAG,,P12.app,"Ventral cord motor neuron, innervates vent body muscles, reciprocal inhibitor"
398,ASEL,,,Glutamate (Glu),,,,,
399,ASER,,,Glutamate (Glu),,,,,
400,AWC_OFF,,,Glutamate (Glu),,,,,
401,DA9,,,Acetylcholine (ACh),,,,,
402,DB01,,,Acetylcholine (ACh),,,,,
403,IL2_DV,,,Acetylcholine (ACh),,,,,
404,AWC_ON,,,Glutamate (Glu),,,,,
405,IL2_LR,,,Acetylcholine (ACh),,,,,
406,RMD_DV,,,Acetylcholine (ACh),,,,,
407,RMD_LR,,,Acetylcholine (ACh),,,,,
408,RME_DV,,,GABA,,,,,
409,RME_LR,,,GABA,,,,,
410,VA12,,,Acetylcholine (ACh),,,,,
411,VB01,,,Acetylcholine (ACh),,,,,
412,VB02,,,Acetylcholine (ACh),,,,,
413,VC_4_5,,,Acetylcholine (ACh),,,,,
414,VD_DD,,,GABA,,,,,
Column h/m indicates whether a cell is hermaphrodite- or male-specific. 'h' or 'm' - indicates a hermaphrodite- or male-specific cell NAME (see notes on PVP/PVU/PVS).,,,,,,,,,
